那不勒斯 | Napoli-Napoli
到达那里 | Arrivare lì
本坦库尔 | Bentankur, Bentankur
身份认同 | Identità e identità
法比尼奥 | Fabinho di Fabinho
马图伊迪 | MATUIDI DI MATUIDI
非常简单 | Molto semplice.
不可或缺 | Indispensabile per
做好准备 | # Preparati #
恢复过来 | # Riprenditi #
非常干净 | Molto pulito
每一个人 | Ogni persona
哥本哈根 | Copenaghen
梅拉尼娅 | Melania
民族主义 | Il nazionalismo
纽卡斯尔 | Newcastle, Newcastle
庆祝活动 | Le celebrazioni
排除在外 | Esclusi da:
毕尔巴鄂 | Bilbao, Bilbao
超级市场 | Il supermercato
地中海 | Il Mediterraneo
卡塞米罗 | Casemiro
莫德里奇 | Modrić
俄罗斯 | Russia-Russia
多才多艺 | Versatile e versatile
看起来 | Sembra proprio di si'.
德甲联赛 | La Bundesliga
视频，视频 | Video, Video
重要，重要 | Importante, importante
专科医生 | Il medico specialista
尔巴尼亚 | Erbania
费迪南德 | Ferdinand
办公室、教室 | Ufficio, aula
拉什福德 | Rushford.
航空航天 | Aerospaziale e Aerospaziale
家庭主妇 | La casalinga
阿莱格里 | Alegre | Alegre
研究人员 | I ricercatori
统计学 | Statistiche e statistiche
索伦蒂诺 | Sorrentino | Sorrentino
曼努埃尔 | Manuel
卡拉布里 | Calabria | Calabria
这个区域 | Questa zona
最后一年 | L'ultimo anno
准备好了 | E' pronto.
我们知道 | Lo sappiamo.
塞内加尔 | Senegal
自己儿子 | Il proprio figlio
意大利教练 | Allenatori italiani
有周期性 | Con periodicità
亚美尼亚 | Armenia | Armenia
贝尔加莫 | Bergamo-Bergamo
这取决于 | Dipende da:
库蒂尼奥 | Cutinho | Cutinho
阿莱格里 | Alegre | Alegre
重要作用 | Un ruolo importante
非常特别 | Molto speciale
弗拉门戈 | Il flamenco
必不可少 | Elementi essenziali
瓦尔达诺 | Val d'Arno
不可避免 | # Inevitabile #
皮埃蒙特 | Piemonte | Piemonte
发表了一 | Pubblicato un
我们知道 | Lo sappiamo.
亚历克斯 | # Alex #
阿莱格里 | Alegre | Alegre
克莱门特 | Clemente |
霍芬海姆 | Hoffenheim | Hoffenheim
不确定性 | # Incertezza #
病、糖尿病 | Malattia, diabete
帮助我们 | # Aiutaci #
异想天开 | # Stravagante e stravagante #
技术人员 | I tecnici
心理、生理 | Psicologia, fisiologia
经济增长 | Crescita economica
物理学家 | Il fisico
自由自在 | Libertà e libertà
重要，重要 | Importante, importante
安东内拉 | Antonella
谢菲尔德 | # Sheffield #
罗·纳尔多 | Ro Naldo
无动于衷 | # Indifferente #
马尔蒂尼 | Martigny-Martigny
实验室 | Il laboratorio
可能选择 | Possibili scelte
意大利，足球 | Italia, Calcio
马蒂内利 | Martinelli
季后赛赛 | I playoff
自己权利 | I propri diritti
表现出来 | # Mostralo #
广告宣传 | Pubblicità e pubblicità
他们可能 | # Potrebbero #
最后一分钟 | Last Minute
消费者 | Consumatori e consumatori
文化)信息 | CULTURA) INFORMAZIONI
斯蒂亚诺 | Stiano-Stiano
帕尔梅里 | Palmeri
巴洛特利 | Balotelli, Balotelli
显而易见 | E' ovvio.
库利巴利 | Coulibali
民族主义 | Il nazionalismo
斯特凡诺 | Stefano, Stefano
帝国主义 | L'imperialismo
星期五 | Il venerdì
卡塔尼亚 | Catania
报告特别 | Relazione speciale
贝尼特斯 | Benitez
是兰帕德 | E' Lampard.
一个教练 | Un allenatore
科拉罗夫 | Kolarov
介绍一下 | # Presentazione #
怒不可遏 | # Furious and Furious #
卡利亚里 | Cagliari-Cagliari
加斯佩里 | Gasperi, Gasperi
贝尔加莫 | Bergamo-Bergamo
气候变化 | Il cambiamento climatico
合同，合同 | Contratto, contratto
阿莱格里 | Alegre | Alegre
费迪南德 | Ferdinand
尔不得不 | # Ho dovuto #
三个主要 | I tre principali
德·特朗普 | De Trump
意大利罗马 | Roma, Italia
恐怖主义 | Il terrorismo
民粹主义 | Il populismo
外科手术 | Chirurgia | Chirurgia
非常开心 | Molto felice
已经做了 | L'ho già fatto.
五颜六色 | Colorati e colorati
情况看起来 | La situazione sembra
他们做梦 | # Sognano #
了更衣室 | Spogliatoio
非常满意 | Molto soddisfatto
最佳射手 | Il capocannoniere
库蒂尼奥 | Cutinho | Cutinho
会留下来 | # Rimarra' #
加拉塔萨 | Galatasa, Galatasa
不可避免 | # Inevitabile #
你会发现 | Lo troverai.
波利塔诺 | Politano |
一年之后 | Un anno dopo
其他任何 | Qualsiasi altro
翁布里亚 | Umbria | Umbria
签证！签证 | Il visto! Il visto
新陈代谢 | Il metabolismo
欧洲理事会 | IL CONSIGLIO EUROPEO
已经准备 | Già preparato
阿莱格里 | Alegre | Alegre
卡塞米罗 | Casemiro
利古里亚 | Liguria | Liguria
贝内文托 | Benevento-Benevento
陶尔米纳 | Taormina
最后一年 | L'ultimo anno
巴伦西亚 | Valencia | Valencia
在接下来 | Nel prossimo
视频会议 | Videoconferenza | Videoconferenza
应用程序 | Applicazioni e applicazioni
之前到达 | Arrivo prima
皮埃蒙特 | Piemonte | Piemonte
冠军，一个 | Campione, uno
非常特别 | Molto speciale
非常非常 | Molto, molto, molto
重要，重要 | Importante, importante
中国消费者 | Consumatori cinesi
兰帕德 | # Lampard #
他们带来 | # E portano #
网络空间 | Il cyberspazio
多纳多尼 | Donadoni
重要贡献 | Contributi importanti
意味着什么 | Che cosa significa
病人，病人 | Paziente, paziente
托特纳姆 | Tottenham
他们想要 | # Vogliono #
意大利言 | Italiano | Italiano
了西班牙 | Spagna
了意大利 | Italia
了俄罗斯 | Russia
了加拿大 | Canada
在太多了 | # In troppo #
布莱顿 | Brighton, Brighton
巴基斯坦 | Pakistan
政治家们 | I politici
一个服务 | Un servizio
是黑手党 | E' la mafia.
外科手术 | Chirurgia | Chirurgia
伯纳乌 | Il Bernabeu
巴洛特利 | Balotelli, Balotelli
非常简单 | Molto semplice.
布鲁斯 | # Bruce #
已经准备 | Già preparato
做好准备 | # Preparati #
非常可爱 | Molto carino.
拉齐奥 | Lazio | Lazio
格纳布里 | Gnaburi, Gnaburi
兰帕德 | # Lampard #
组织机构 | Organizzazioni e organi
西西里岛 | Sicilia-Sicilia
普利亚 | Puglia | Puglia
知识分子 | Gli intellettuali
奥布拉克 | Aubrac-Aubrac
竞争力 | La competitività
高速公路 | Le autostrade
提供服务 | Offerta di servizi
我们需要 | Abbiamo bisogno di
季后赛 | I playoff
亚特兰大 | Atlanta
研究人员 | I ricercatori
佩斯卡拉 | Pescara, Pescara
西西里 | Sicilia, Sicilia
墨西哥 | Messico
冠军冠军 | Campioni Campioni Campioni
玛丽娜 | » Marina
马来西亚 | Malaysia-Malaysia
他训练过 | Si è allenato.
身份认同 | Identità e identità
电子游戏 | Videogiochi | Videogiochi
库蒂尼奥 | Cutinho | Cutinho
网络摄像 | La webcam
周围环境 | Dintorni e dintorni
坦桑尼亚 | Tanzania-Tanzania
公民身份 | La cittadinanza
示威活动 | Manifestazioni e manifestazioni
必须继续 | Deve continuare
托迪博 | Todi Bo
库利巴利 | Coulibali
伊夫雷亚 | Ivrea
消费者 | Consumatori e consumatori
格拉维纳 | La Gravina
已经过去 | E' passato.
么，为什么 | Perché, perché?
不是，只是 | No, solo
伊丽莎白 | # Elizabeth #
桑切斯 | Sanchez
视频监控 | Videosorveglianza di video
陶尔米纳 | Taormina
乌拉圭人 | Uruguay | Uruguay
奢侈品 | Lusso di lusso
特雷维索 | Treviso | Treviso
坎帕尼亚 | Campania-Campania
曼努埃尔 | Manuel
伊斯坦布 | Istanbu | Istanbu
波利塔诺 | Politano |
尼古拉斯 | Nicolas Nicholas
莱比锡 | Lipsia, Lipsia
新鲜水果 | Frutta fresca
罗·伊瓜因 | Ro Higuain
加泰罗尼 | GATTELLONI |
丹尼尔拉 | Daniel La
肾上腺素 | Adrenalina-Adrenalina
家用电器 | Elettrodomestici e elettrodomestici
看到他们 | # Vederli #
他们继续 | # E continuano #
救援人员 | I soccorritori
犯罪分子 | I criminali
西尔维奥 | # Silvio #
斯帕莱蒂 | Spalletti
佩斯卡拉 | Pescara, Pescara
阿姆斯特丹 | Amsterdam, Amsterdam
维苏威火山 | Vesuvio
他们变成 | # E diventano #
你可以问 | Puoi chiedere
亚历山德罗 | Alessandro, Alessandro
你会发现 | Lo troverai.
萨拉赫 | Salah
马尔科姆 | # Malcolm #
克里斯蒂安 | Christian Christian
加泰罗尼亚 | Catalogna
夸利亚雷拉 | Quaglia Rella
他们想要 | # Vogliono #
反应过来 | # Reagisci #
具有传染性 | È contagioso
几乎没有人 | Quasi nessuno
社会主义 | Il socialismo
贝卢斯科尼 | Berlusconi
费德里科 | Federico
波多尔斯基 | Podolski
莫德里奇 | Modrić
卡利亚里 | Cagliari-Cagliari
阿尔巴尼亚 | Albania-Albania
斯·马丁内斯 | S. Martinez
桑普多利亚 | La Sampdoria
亚得里亚 | Adriatico | Adriatico
中场球员 | Il centrocampista
杜塞尔多夫 | Düsseldorf
本坦库尔本 | Bentan Kurben
加布里埃尔 | # Gabriel #
菲乌米奇诺 | Fiumicino
斯洛文尼亚 | Slovenia, Slovenia
夸德拉多 | Cuadrado
特尔施特根 | Telstegen, Telstegen
弗洛伦蒂诺 | Florentino
境澳大利亚 | Australia
贝卢斯科尼 | Berlusconi
斯皮纳佐拉 | Spinazzola
伊斯坦布尔 | Istanbul
里齐奥·萨里 | Rizzio Sarri
毛里齐奥 | Maurizio, Maurizio
卡拉布里亚 | Calabria-Calabria
索尔斯克亚 | Solskjar
贝尔纳代斯基 | Bernardsky
安迪·罗伯逊 | Andy Robertson
弗朗西斯科 | » Francesco
佩莱格里尼 | Pellegrini
埃尔南德斯 | Hernandez
斯德哥尔摩 | Stoccolma
拉法·贝尼特 | Raffa Benit
撒丁岛地区 | Regioni in Sardegna
加斯佩里尼 | Gasperini
阿马尔菲海岸 | Costiera Amalfitana
小龙虾，小龙虾 | Gamberi, gamberi
一个信号 | Un segnale
多梅尼科 | DOMENICO DI DOMENICO
加拉塔萨雷 | GALATASARE RESIDENZA
吉普赛人 | Gli zingari
皮亚琴察 | Piacenza | Piacenza
格拉斯哥 | Glasgow, Glasgow
意大利，意大利 | Italia, Italia
几乎不可能 | Quasi impossibile
普利扎里 | Pulitzari | Pulitzari
卢卡库，卢卡库 | Lukaku, Lukaku
阿尔特塔 | La Torre di Alte
拉什福德 | Rushford.
服务提供商 | Fornitore di servizi
卡拉布里亚 | Calabria-Calabria
海沉船事故 | Naufragio marino
莫斯科火车头 | Locomotiva di Mosca
星期天晚上 | Domenica sera
热情好客 | Ospitalità e ospitalità
达尼洛，达尼洛 | Danilo, Danilo
保加利亚 | Bulgaria, Bulgaria
我们想要 | Noi vogliamo
非常专业 | Molto professionale
未来看起来 | Il futuro sembra
贝尼特斯 | Benitez
会留下来 | # Rimarra' #
德拉克斯勒 | Draxler
亚亚历山德 | Alessandro Alessandro
已经准备好 | # E' pronto #
专业精神 | La professionalità
改过自新 | # Riformato #
现在看起来 | Ora sembra
他们可能 | # Potrebbero #
古迪逊公园 | Parco di Goodison
本杰明·门迪 | Benjamin Mendi
毛罗·伊卡尔迪 | Mauro Icardi
莱昂内尔·梅西 | Lionel Massey
弗兰克·兰帕德 | Frank Lampard
我们可以允许 | Possiamo permetterlo...
阿尔法罗密欧 | Alfa Romeo-Alfa Romeo
意大利那不勒斯 | Napoli, Italia
罗纳尔迪尼奥 | Ronaldinho
贝尔加马斯基 | Bergamaschi
海沉船事故 | Naufragio marino
莫斯科火车头 | Locomotiva di Mosca
星期天晚上 | Domenica sera
热情好客 | Ospitalità e ospitalità
达尼洛，达尼洛 | Danilo, Danilo
保加利亚 | Bulgaria, Bulgaria
我们想要 | Noi vogliamo
非常专业 | Molto professionale
未来看起来 | Il futuro sembra
贝尼特斯 | Benitez
会留下来 | # Rimarra' #
