那不勒斯 | napoli-napoli
航空航天 | aerospazialeeaerospaziale
家庭主妇 | lacasalinga
阿莱格里 | alegre
研究人员 | iricercatori
统计学 | statisticheestatistiche
索伦蒂诺 | sorrentino
曼努埃尔 | manuel
卡拉布里 | calabria
这个区域 | questazona
最后一年 | l'ultimoanno
准备好了 | e'pronto
我们知道 | losappiamo
塞内加尔 | senegal
自己儿子 | ilpropriofiglio
意大利教练 | allenatoriitaliani
有周期性 | conperiodicità
亚美尼亚 | armenia
贝尔加莫 | bergamo-bergamo
这取决于 | dipendeda:
库蒂尼奥 | cutinho
阿莱格里 | alegre
重要作用 | unruoloimportante
非常特别 | moltospeciale
弗拉门戈 | ilflamenco
必不可少 | elementiessenziali
瓦尔达诺 | vald'arno
不可避免 | inevitabile
皮埃蒙特 | piemonte
发表了一 | pubblicatoun
我们知道 | losappiamo
亚历克斯 | alex
阿莱格里 | alegre
克莱门特 | clemente
霍芬海姆 | hoffenheim
不确定性 | incertezza
病、糖尿病 | malattiadiabete
帮助我们 | aiutaci
异想天开 | stravaganteestravagante
技术人员 | itecnici
心理、生理 | psicologiafisiologia
经济增长 | crescitaeconomica
物理学家 | ilfisico
自由自在 | libertàelibertà
重要，重要 | importanteimportante
安东内拉 | antonella
谢菲尔德 | sheffield
罗·纳尔多 | ronaldo
无动于衷 | indifferente
马尔蒂尼 | martigny-martigny
实验室 | illaboratorio
可能选择 | possibiliscelte
意大利，足球 | italiacalcio
马蒂内利 | martinelli
季后赛赛 | iplayoff
自己权利 | ipropridiritti
表现出来 | mostralo
广告宣传 | pubblicitàepubblicità
他们可能 | potrebbero
最后一分钟 | lastminute
消费者 | consumatorieconsumatori
文化)信息 | cultura)informazioni
斯蒂亚诺 | stiano-stiano
帕尔梅里 | palmeri
巴洛特利 | balotellibalotelli
显而易见 | e'ovvio
库利巴利 | coulibali
民族主义 | ilnazionalismo
斯特凡诺 | stefanostefano
帝国主义 | l'imperialismo
星期五 | ilvenerdì
卡塔尼亚 | catania
报告特别 | relazionespeciale
贝尼特斯 | benitez
是兰帕德 | e'lampard
一个教练 | unallenatore
科拉罗夫 | kolarov
介绍一下 | presentazione
怒不可遏 | furiousandfurious
卡利亚里 | cagliari-cagliari
加斯佩里 | gasperigasperi
贝尔加莫 | bergamo-bergamo
气候变化 | ilcambiamentoclimatico
合同，合同 | contrattocontratto
阿莱格里 | alegre
费迪南德 | ferdinand
尔不得不 | hodovuto
三个主要 | itreprincipali
德·特朗普 | detrump
意大利罗马 | romaitalia
恐怖主义 | ilterrorismo
民粹主义 | ilpopulismo
外科手术 | chirurgia
非常开心 | moltofelice
已经做了 | l'hogiàfatto
五颜六色 | coloratiecolorati
情况看起来 | lasituazionesembra
他们做梦 | sognano
了更衣室 | spogliatoio
非常满意 | moltosoddisfatto
最佳射手 | ilcapocannoniere
库蒂尼奥 | cutinho
会留下来 | rimarra'
加拉塔萨 | galatasagalatasa
不可避免 | inevitabile
你会发现 | lotroverai
波利塔诺 | politano
一年之后 | unannodopo
其他任何 | qualsiasialtro
翁布里亚 | umbria
签证！签证 | ilvisto!ilvisto
新陈代谢 | ilmetabolismo
欧洲理事会 | ilconsiglioeuropeo
已经准备 | giàpreparato
阿莱格里 | alegre
卡塞米罗 | casemiro
利古里亚 | liguria
贝内文托 | benevento-benevento
陶尔米纳 | taormina
最后一年 | l'ultimoanno
巴伦西亚 | valencia
在接下来 | nelprossimo
视频会议 | videoconferenza
应用程序 | applicazionieapplicazioni
之前到达 | arrivoprima
皮埃蒙特 | piemonte
冠军，一个 | campioneuno
非常特别 | moltospeciale
非常非常 | moltomoltomolto
重要，重要 | importanteimportante
中国消费者 | consumatoricinesi
兰帕德 | lampard
他们带来 | eportano
网络空间 | ilcyberspazio
多纳多尼 | donadoni
重要贡献 | contributiimportanti
意味着什么 | checosasignifica
病人，病人 | pazientepaziente
托特纳姆 | tottenham
他们想要 | vogliono
意大利言 | italiano
了西班牙 | spagna
了意大利 | italia
了俄罗斯 | russia
了加拿大 | canada
在太多了 | introppo
布莱顿 | brightonbrighton
巴基斯坦 | pakistan
政治家们 | ipolitici
一个服务 | unservizio
是黑手党 | e'lamafia
外科手术 | chirurgia
伯纳乌 | ilbernabeu
巴洛特利 | balotellibalotelli
非常简单 | moltosemplice
布鲁斯 | bruce
已经准备 | giàpreparato
做好准备 | preparati
非常可爱 | moltocarino
拉齐奥 | lazio
格纳布里 | gnaburignaburi
兰帕德 | lampard
组织机构 | organizzazionieorgani
西西里岛 | sicilia-sicilia
普利亚 | puglia
知识分子 | gliintellettuali
奥布拉克 | aubrac-aubrac
竞争力 | lacompetitività
高速公路 | leautostrade
提供服务 | offertadiservizi
我们需要 | abbiamobisognodi
季后赛 | iplayoff
亚特兰大 | atlanta
研究人员 | iricercatori
佩斯卡拉 | pescarapescara
西西里 | siciliasicilia
墨西哥 | messico
冠军冠军 | campionicampionicampioni
玛丽娜 | marina
马来西亚 | malaysia-malaysia
他训练过 | sièallenato
身份认同 | identitàeidentità
电子游戏 | videogiochi
库蒂尼奥 | cutinho
网络摄像 | lawebcam
周围环境 | dintorniedintorni
坦桑尼亚 | tanzania-tanzania
公民身份 | lacittadinanza
示威活动 | manifestazioniemanifestazioni
必须继续 | devecontinuare
托迪博 | todibo
库利巴利 | coulibali
伊夫雷亚 | ivrea
消费者 | consumatorieconsumatori
格拉维纳 | lagravina
已经过去 | e'passato
么，为什么 | perchéperché
不是，只是 | nosolo
伊丽莎白 | elizabeth
桑切斯 | sanchez
视频监控 | videosorveglianzadivideo
陶尔米纳 | taormina
乌拉圭人 | uruguay
奢侈品 | lussodilusso
特雷维索 | treviso
坎帕尼亚 | campania-campania
曼努埃尔 | manuel
伊斯坦布 | istanbu
波利塔诺 | politano
尼古拉斯 | nicolasnicholas
莱比锡 | lipsialipsia
新鲜水果 | fruttafresca
罗·伊瓜因 | rohiguain
加泰罗尼 | gattelloni
丹尼尔拉 | daniella
肾上腺素 | adrenalina-adrenalina
家用电器 | elettrodomesticieelettrodomestici
看到他们 | vederli
他们继续 | econtinuano
救援人员 | isoccorritori
犯罪分子 | icriminali
西尔维奥 | silvio
斯帕莱蒂 | spalletti
佩斯卡拉 | pescarapescara
阿姆斯特丹 | amsterdamamsterdam
维苏威火山 | vesuvio
他们变成 | ediventano
你可以问 | puoichiedere
亚历山德罗 | alessandroalessandro
你会发现 | lotroverai
萨拉赫 | salah
马尔科姆 | malcolm
克里斯蒂安 | christianchristian
加泰罗尼亚 | catalogna
夸利亚雷拉 | quagliarella
他们想要 | vogliono
反应过来 | reagisci
具有传染性 | ècontagioso
几乎没有人 | quasinessuno
社会主义 | ilsocialismo
贝卢斯科尼 | berlusconi
费德里科 | federico
波多尔斯基 | podolski
莫德里奇 | modrić
卡利亚里 | cagliari-cagliari
阿尔巴尼亚 | albania-albania
斯·马丁内斯 | smartinez
桑普多利亚 | lasampdoria
亚得里亚 | adriatico
中场球员 | ilcentrocampista
杜塞尔多夫 | düsseldorf
本坦库尔本 | bentankurben
加布里埃尔 | gabriel
菲乌米奇诺 | fiumicino
斯洛文尼亚 | sloveniaslovenia
夸德拉多 | cuadrado
特尔施特根 | telstegentelstegen
弗洛伦蒂诺 | florentino
境澳大利亚 | australia
贝卢斯科尼 | berlusconi
斯皮纳佐拉 | spinazzola
伊斯坦布尔 | istanbul
里齐奥·萨里 | rizziosarri
毛里齐奥 | mauriziomaurizio
卡拉布里亚 | calabria-calabria
索尔斯克亚 | solskjar
贝尔纳代斯基 | bernardsky
安迪·罗伯逊 | andyrobertson
弗朗西斯科 | francesco
佩莱格里尼 | pellegrini
埃尔南德斯 | hernandez
斯德哥尔摩 | stoccolma
拉法·贝尼特 | raffabenit
撒丁岛地区 | regioniinsardegna
加斯佩里尼 | gasperini
阿马尔菲海岸 | costieraamalfitana
小龙虾，小龙虾 | gamberigamberi
一个信号 | unsegnale
多梅尼科 | domenicodidomenico
加拉塔萨雷 | galatasareresidenza
吉普赛人 | glizingari
皮亚琴察 | piacenza
格拉斯哥 | glasgowglasgow
意大利，意大利 | italiaitalia
几乎不可能 | quasiimpossibile
普利扎里 | pulitzari
卢卡库，卢卡库 | lukakulukaku
阿尔特塔 | latorredialte
拉什福德 | rushford
服务提供商 | fornitorediservizi
卡拉布里亚 | calabria-calabria
海沉船事故 | naufragiomarino
莫斯科火车头 | locomotivadimosca
星期天晚上 | domenicasera
热情好客 | ospitalitàeospitalità
达尼洛，达尼洛 | danilodanilo
保加利亚 | bulgariabulgaria
我们想要 | noivogliamo
非常专业 | moltoprofessionale
未来看起来 | ilfuturosembra
贝尼特斯 | benitez
会留下来 | rimarra'
德拉克斯勒 | draxler
亚亚历山德 | alessandroalessandro
已经准备好 | e'pronto
专业精神 | laprofessionalità
改过自新 | riformato
现在看起来 | orasembra
他们可能 | potrebbero
古迪逊公园 | parcodigoodison
本杰明·门迪 | benjaminmendi
毛罗·伊卡尔迪 | mauroicardi
莱昂内尔·梅西 | lionelmassey
弗兰克·兰帕德 | franklampard
我们可以允许 | possiamopermetterlo
阿尔法罗密欧 | alfaromeo-alfaromeo
意大利那不勒斯 | napoliitalia
罗纳尔迪尼奥 | ronaldinho
贝尔加马斯基 | bergamaschi
